Date,INR,sin_DoY,Inflation (CPI) %,Ave Monthly USD FX Rate,Lending Interest Rate %,Exports(USD),Imports (USD),NY.GDP.MKTP.CD,Real Interest Rate(%),Foreign Exchange Reserves(%),Domestic Credit to GDP,Trade Openness,FDI(%GDP),Current Account(%GDP),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,INR_30_ave,INR_60_ave,INR_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,INR_classifier
1981-01-02,7.89,0.0172133561558346,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.904,7.818,7.79788888888889,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-05,7.81,0.0688024268023198,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.904333333333333,7.818666666666667,7.797999999999999,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-06,7.89,0.0859647987374464,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.907333333333335,7.821,7.798999999999999,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-07,7.86,0.1031016974474348,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.909333333333333,7.822666666666667,7.799666666666667,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-08,7.95,0.1202080448993527,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.912666666666666,7.825833333333334,7.801333333333333,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-09,7.95,0.1372787721132647,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.916,7.829,7.803333333333333,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-12,7.93,0.1882267098432442,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.919666666666667,7.832,7.805333333333333,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-13,7.99,0.2051044998686192,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.925333333333333,7.836333333333333,7.808000000000001,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-14,7.97,0.2219215130041655,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.929,7.840333333333334,7.810666666666667,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-15,7.96,0.2386727660059501,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.932333333333333,7.844166666666667,7.813222222222222,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-16,7.97,0.255353295116187,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.934,7.848166666666667,7.815888888888888,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-19,7.97,0.304921224656289,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.935666666666666,7.852333333333334,7.818555555555556,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-20,7.9,0.3212696616923644,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.935,7.855333333333333,7.820333333333334,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-21,7.93,0.3375228995941133,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.935666666666667,7.858833333333334,7.822444444444444,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-22,7.93,0.3536761221763716,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.935999999999999,7.862333333333334,7.824222222222223,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-23,7.98,0.3697245428906731,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.938000000000001,7.867333333333333,7.827111111111112,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-26,7.98,0.4171936026123168,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.938333333333333,7.872333333333333,7.829888888888889,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-27,8.03,0.4327755925504312,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.941,7.8775,7.832777777777778,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-28,8.05,0.4482293417404106,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.945333333333334,7.882999999999999,7.835555555555555,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-01-29,8.07,0.4635502709028509,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.948333333333333,7.888833333333334,7.838555555555556,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
