Date,MYR,sin_DoY,Ave Monthly USD FX Rate,Inflation (CPI) %,Deposit Interest Rate %,Lending Interest Rate %,Imports (USD),Exports(USD),NY.GDP.MKTP.CD,Real Interest Rate(%),Foreign Exchange Reserves(%),REED 12mth std dev,Trade Openness,Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,MYR_30_ave,MYR_60_ave,MYR_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,MYR_classifier
1981-09-01,2.371,-0.8631421280499115,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.371233333333333,2.354853333333333,2.350607777777778,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-02,2.365,-0.8717063187093217,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.371266666666666,2.354945,2.3512133333333334,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-03,2.363,-0.8800122039735356,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.3712833333333334,2.354945,2.35173,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-04,2.3675,-0.888057322629493,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.3714,2.355053333333333,2.352268888888889,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-08,2.371,-0.9175836260593934,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.371566666666667,2.3556533333333336,2.352791111111111,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-09,2.375,-0.9242907221930934,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.371966666666667,2.3563616666666665,2.35328,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-10,2.372,-0.9307239310379792,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.372266666666667,2.357028333333333,2.3536244444444443,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-11,2.371,-0.9368813462954316,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.3725,2.357695,2.3540966666666665,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-14,2.368,-0.9536809966304456,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.3727666666666662,2.358353333333333,2.354446666666667,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-15,2.366,-0.9587178169872964,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.372133333333333,2.359103333333333,2.3549466666666667,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-16,2.362,-0.9634705485641486,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.3715333333333333,2.35997,2.3553244444444443,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-17,2.357,-0.9679377830240642,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.3709,2.36067,2.3555577777777774,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-18,2.35,-0.9721181966290612,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.369966666666667,2.361178333333333,2.35568,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-21,2.333,-0.9829265519799822,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.3685,2.361361666666667,2.3555244444444448,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-22,2.335,-0.9859481499638304,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.366716666666667,2.361645,2.3554744444444444,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-23,2.33,-0.9886775902323404,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.36495,2.3618416666666664,2.355418888888889,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
