Date,TRY,Yr,DoM,MoY,sin_DoY,cos_DoY,Ave Monthly USD FX Rate,@OBS_STATUS_x,Inflation (CPI) %,@OBS_STATUS_y,Deposit Interest Rate %,Imports (USD),Exports(USD),NY.GDP.MKTP.CD,Foreign Exchange Reserves(%),M2 Multiplier Growth (%),M2/Reserves,Domestic Credit to GDP,Trade Openness,Portfolio Investments(USD),Umemployment rate(%),Current Account(%GDP),FDI(%GDP),Total Debt(USD),Short Term Debt(USD),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,TRY_30_ave,TRY_60_ave,TRY_90_ave,TRY_90d_change,TRY_classifier
2005-08-09,1.3275,2005,9,8,-0.6016240632249227,-0.7987793728863648,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3336599999999998,1.3498433333333333,1.35374,0.01318267419962349,Small deppreciation
2005-08-10,1.3195,2005,10,8,-0.6152845999633277,-0.7883050558305253,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3328766666666667,1.34886,1.3532344444444444,0.022205380826070487,Small deppreciation
2005-08-11,1.3305,2005,11,8,-0.6287628145958345,-0.7775971469736268,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3327099999999998,1.3481933333333334,1.352901111111111,0.015031942878616977,Small deppreciation
2005-08-12,1.3505,2005,12,8,-0.6420547132365636,-0.7666588193001592,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.33311,1.3478933333333332,1.3529844444444443,-0.0007404664938912564,Small Appreciation
2005-08-15,1.3445,2005,15,8,-0.6807734094770159,-0.7324940716135792,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3331933333333335,1.3473599999999997,1.3530322222222222,0.005057642246188099,Small deppreciation
2005-08-16,1.3515,2005,16,8,-0.6932812268869771,-0.7206671495538615,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3333266666666668,1.3468016666666667,1.353038888888889,0.002589715131335657,Small deppreciation
2005-08-17,1.3715,2005,17,8,-0.7055836101071774,-0.70862667826446,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.33406,1.346501666666667,1.3532722222222222,-0.015311702515493963,Small Appreciation
2005-08-18,1.3705,2005,18,8,-0.7176769136759615,-0.6963762255968726,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.33461,1.346235,1.3534911111111112,-0.014739146296971928,Small Appreciation
2005-08-19,1.3745,2005,19,8,-0.7295575540864876,-0.6839194216246105,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3355933333333332,1.3460516666666666,1.3538466666666666,-0.019134230629319737,Small Appreciation
2005-08-22,1.3628,2005,22,8,-0.7638886127905429,-0.64534811322955,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3363699999999998,1.3460233333333336,1.3538333333333332,-0.00990607572644564,Small Appreciation
