,,,,,National Accounts,National accounts,National accounts,National accounts,National accounts,,Government Finance,Government finance,Government finance,,Prices (CPI),Prices,,Balance of Payments,Balance of Payments
IMF Code,ISO Code,Country,Currency,,Historical Data Source 1/,Latest Actual Data,Base Year 2/,Reporting Period 3/,Use of Chain-Weighted Methodology 4/,,Historical Data Source 1/,Latest Actual Data,Reporting Period 3/,,Historical Data Source 1/,Latest Actual Data,,Historical Data Source 1/,Latest Actual Data
512,AFG,Afghanistan,Afghan Afghani,,NSO,2011/12,2002/03,,,,MoF,2012/13,Solar year 6/,,NSO,2013,,NSO,2012
914,ALB,Albania,Albanian lek,,IMF staff,2012,1996,,From 1996,,IMF staff,2012,,,NSO,2013,,CB,2012
612,DZA,Algeria,Algerian dinar,,NSO,2011,2001,,From 2005,,CB,2012,,,NSO,2012,,CB,2012
614,AGO,Angola,Angolan kwanza,,NSO,2011,2002,,,,MoF,2012,,,CB,2013,,CB,2012
311,ATG,Antigua and Barbuda,Eastern Caribbean dollar,,CB,2013,2006 5/,,,,MoF,2013,,,NSO,2013,,CB,2013
213,ARG,Argentina,Argentine peso,,MEP,2012,1993,,,,MEP,2012,,,NSO,2012,,MEP,2012
911,ARM,Armenia,Armenian dram,,NSO,2012,2005,,,,MoF,2012,,,NSO,2013,,CB,2012
193,AUS,Australia,Australian dollar,,NSO ,2013,2011/12,,From 1980,,MoF,2012/13,,,NSO,2013,,NSO,2013
122,AUT,Austria,Euro,,NSO,2013,2005,,From 1988,,NSO,2013,,,NSO,2013,,NSO,2013
912,AZE,Azerbaijan,Azerbaijan manat,,NSO,2013,2003,,From 1994,,MoF,2012,,,NSO,2013,,CB,2012
313,BHS,The Bahamas,Bahamian dollar,,NSO,2012,2006,,,,MoF,2012/13,Jul/Jun,,NSO,2012,,CB,2012
419,BHR,Bahrain,Bahrain dinar,,MoF,2012,2010,,,,MoF,2012,,,NSO,2012,,CB,2012
513,BGD,Bangladesh,Bangladesh taka,,NSO,2012,2005,,,,MoF,2011/12,Jul/Jun,,NSO,2013,,CB,2011
